province,region,commune_id,commune_type,area_commune_km2,elevation_m,distance_to_urban_km,ndvi,road_density_km_per_km2,land_use_type,annual_rainfall_mm,nearest_market_km,census_population,census_density,n_microcensus_points,microcensus_total_persons,microcensus_total_households,microcensus_mean_density,has_microcensus_data,missing_mechanism,n_grid_cells_100m
Thanh Hóa,duyen_hai_mien_trung,COM_0001,xa,77.51,174.27,6.69,0.4498,3.7378,residential,1617.19,4.38,38444,496.0,22,33292,6730,425.11,0,MAR,7751
Gia Lai,tay_nguyen,COM_0002,xa,45.6282,546.85,77.28,0.1828,2.6778,agricultural,1977.75,10.8,3491,76.53,19,3965,955,87.9,1,observed,4562
Gia Lai,tay_nguyen,COM_0003,xa,52.395,989.67,73.29,0.6581,2.6967,forest,1905.71,41.6,3085,58.88,16,3236,816,63.69,0,MAR,5239
Quảng Trị,duyen_hai_mien_trung,COM_0004,xa,61.5217,26.54,83.85,0.8695,2.4502,forest,2956.51,21.24,7003,113.84,10,6957,1540,106.69,1,observed,6152
Điện Biên,mien_nui_phia_bac,COM_0005,xa,75.5953,1456.28,23.75,0.1682,0.3557,mixed,2466.11,19.71,3632,48.05,14,4154,1053,53.51,0,MAR,7559
Huế,duyen_hai_mien_trung,COM_0006,xa,50.8418,91.38,18.44,0.4896,2.0682,forest,3209.83,45.69,26513,521.5,9,27378,5849,504.19,1,observed,5084
Hà Tĩnh,duyen_hai_mien_trung,COM_0007,xa,41.6765,234.28,73.53,0.4027,3.7673,forest,1827.65,41.11,5000,119.98,19,4887,1279,112.87,1,observed,4167
Thanh Hóa,duyen_hai_mien_trung,COM_0008,xa,55.5577,381.94,62.02,0.2085,1.6649,residential,1780.11,7.26,10827,194.89,20,9279,1827,180.69,1,observed,5555
TP. Hồ Chí Minh,dong_nam_bo,COM_0009,xa,76.3121,40.9,39.03,0.4719,3.8315,mixed,1552.95,14.44,433909,5685.98,28,473265,116814,6681.8,0,MAR,7631
Hưng Yên,dong_bang_song_hong,COM_0010,xa,24.7246,7.69,22.17,0.3817,1.1855,residential,1582.04,25.32,49991,2021.95,6,43696,10854,1939.1,1,observed,2472
Lâm Đồng,tay_nguyen,COM_0011,xa,50.8358,1316.3,35.84,0.6643,0.8859,forest,2648.18,28.12,5679,111.72,20,5534,1063,105.09,1,observed,5083
Hà Nội,dong_bang_song_hong,COM_0012,xa,47.7091,32.94,57.67,0.3566,1.4156,agricultural,1256.78,9.14,104041,2180.74,40,112016,27900,2501.35,1,observed,4770
Hà Tĩnh,duyen_hai_mien_trung,COM_0013,thi_tran,34.2841,557.49,21.89,0.5768,3.4566,residential,2731.71,19.3,4984,145.38,9,5024,1045,152.91,1,observed,3428
An Giang,dong_bang_song_cuu_long,COM_0014,xa,76.143,4.54,12.49,0.1807,2.6352,agricultural,1855.68,17.52,40314,529.46,31,36253,8087,472.37,1,observed,7614
Vĩnh Long,dong_bang_song_cuu_long,COM_0015,xa,35.267,1.52,71.14,0.7956,3.6111,forest,2304.85,27.0,9842,279.08,41,8968,1632,276.14,1,observed,3526
Tây Ninh,dong_nam_bo,COM_0016,xa,75.7578,120.49,25.8,0.4052,1.4322,agricultural,2467.6,31.16,28623,377.83,23,26614,5009,340.36,1,observed,7575
